probe_name,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G42210,0.3561438871433202,0.2405022632672542,0.3033349343337302,0.06465495138801693,0.32097102738475525,0.2886040402798811,0.3843956971463016,0.17586159596776327
AT2G33040,0.09391279425277702,0.09942446026376203,0.093667190861767,0.2523980396960771,0.16381669726521064,0.4599467988179298,0.15841020908365203,0.4299802963136391
AT2G45710,-0.7426547877055225,-0.7657144199194172,-0.7097225819999256,-0.8044877678435558,-0.7453792142061411,-0.7514477218339811,-0.7449091936130546,-0.8189992211821906
AT2G45640,-0.785983450723443,-0.6398955064248418,-0.760981296622108,-0.6290070331891676,-0.7787302939099673,-0.5814445299938135,-0.770371470367221,-0.6578824072812454
AT2G30570,-0.0677587277833408,0.2761063387880595,0.03664706799120476,0.3330714189965498,0.058583934411850114,0.551220002459911,0.33832703015832344,0.14288483145143327
AT2G30620,-0.3356665706414724,-0.29603509284232654,-0.36332533556125995,-0.4402313256260615,-0.47572815500986476,-0.4759232078380074,-0.3756750531999487,-0.4273538268702722
AT2G30410,-0.5682974672724467,-0.6263766657195736,-0.5492940904651458,-0.5017367100047418,-0.5385772540729462,-0.48980598997968294,-0.5971781844745787,-0.598783598962654
AT2G30490,-0.7034967981331772,-0.8467605391970401,-0.5070041660028121,-0.6274581043065985,-0.36007317974905856,-0.5041758872842245,-0.40867017955620333,-0.5397465448847301
AT2G02850,-0.7684318666399805,-0.5977327854133617,-0.8656963764354427,-0.7376256710793241,-0.9452330327343721,-0.6658372319603151,-0.7676945072854872,-0.7430415051614306
AT2G02760,-0.03769512336315258,-0.04292491686547311,-0.3297072214521577,-0.40867189964371653,-0.262736032355884,-0.2927679066004629,-0.20223274748574996,-0.25512124964921556
AT2G33800,-0.22832965543798733,-0.28077620333340986,-0.23550522679308306,-0.3880195145427955,-0.4477460938189652,-0.3671747477282154,-0.2774989885512439,-0.4851557961348505
AT2G26330,0.3684242033997361,0.1925170712589505,0.2191114611770038,-0.06739123585099675,0.09313514766562474,0.06459195475696676,0.08090278962414826,0.02894825742029329
AT2G39990,-0.5164536793031433,-0.3782858612917059,-0.492808531246495,-0.3661408940765074,-0.5556317834669483,-0.44182514643740073,-0.576634049196156,-0.40357844421336764
