gene_symbol,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G42280,-0.09843593947411756,-0.13847284500546633,-0.20582242595178074,-0.16457532755001913,-0.2159119584378638,-0.24076395311390777,-0.2147629907285734,-0.29493316215831816
AT2G42150,0.1599892273928507,0.04220377426846435,0.2038503175608281,0.09988283649067754,0.11386943813221491,-0.0111312830333781,0.01686304513053636,-0.0006208118114932542
AT2G42160,-0.1152056258431887,0.006883532906643263,-0.01651049500226996,0.05536571221049363,-0.04827660064231805,0.005028053009325827,-0.042266058073420654,0.033979043599381704
AT2G42180,-0.2631228594575599,-0.2869989881679958,-0.28732574018744717,-0.2730031748067048,-0.27840574421554837,-0.2922186810393598,-0.2383257160654886,-0.29493316215831816
AT2G42100,-0.24549318917212615,-0.25892392452142016,-0.26748895471209977,-0.28842990104241206,-0.28009476545278306,-0.28839146987135095,-0.2947873409294175,-0.29664179699342313
AT2G32890,-0.2364633580503186,-0.2367355677684813,-0.20625366041863613,-0.23333445020060029,-0.25855974467804044,-0.2292823196098813,-0.2916752828660513,-0.25905183062111453
AT2G32880;AT2G32870,-0.2609728996666533,-0.2937913422760383,-0.24333982456819864,-0.296363645963633,-0.2838950632365612,-0.2985973663193745,-0.2996777178861357,-0.29536032086709446
AT2G32860,-0.23947330175758777,-0.22858474283883026,-0.22393427355970663,-0.23068986856019333,-0.2653158296269793,-0.2212026515885293,-0.2565534847223475,-0.29536032086709446
AT2G32830,-0.26441283533210386,-0.22043391790917927,-0.21530958422259908,-0.2478796492228386,-0.23364668142882833,-0.19143545361512732,-0.2792270506125867,-0.2483728629017087
AT2G33030,-0.274302650370274,-0.2747727507735193,-0.27740734744977347,-0.295482118750164,-0.26447131900836196,-0.2471426383939225,-0.2996777178861357,-0.26460489383520563
AT2G33000,-0.20980385664307727,-0.1488877879711315,-0.24635846583618629,-0.15796387344900173,-0.21844549029371588,-0.1884587338177871,-0.20009185985841865,-0.21847175328737237
AT2G33020,-0.23001347867759894,-0.2802066340599533,-0.2071161293523469,-0.18132434460592992,-0.22351255400542003,-0.27690983636732447,-0.23299075938543232,-0.24751854548415628
AT2G33010,-0.25280305246120843,-0.2897159298112128,-0.2769761129829181,-0.28666684661547415,-0.27629446766900495,-0.29306917241002844,-0.27255835476251633,-0.2923702099056608
AT2G32930,-0.11305566605228215,-0.059681537352173276,0.035668875487230786,-0.1606084550894087,-0.13906149214368413,-0.05110437745480365,-0.09961684238402556,-0.1326128528233494
AT2G26740;AT2G26750,0.2838269113490685,0.27495510837072085,1.3517964683298436,1.8836531529451768,3.939080285159543,3.4928931641213703,3.705096429942771,5.182522960479326
AT2G26650,-0.04124700903600313,-0.04156859306405993,0.025750482749557112,-0.005459665518866662,-0.08796859971733391,-0.09192796324689782,-0.14940977139788408,-0.09203277548960721
AT2G26690,0.9279548647046733,0.751325543148102,1.6502107193937652,1.5720332829838892,2.2082557723032656,1.5057200765541205,1.2803586188571963,1.1091375135891617
AT2G26700,-0.1698146045322153,0.023638006373148123,-0.13811861465548647,-0.07025191570883733,-0.11583745013170677,-0.027290619076082087,-0.1378506985910955,-0.08946982323694984
AT2G26710,-0.05414676778144248,0.005977885692237647,-0.026428887739943632,-0.11741362162942823,0.00957237673297106,-0.10213385969492135,0.008416030387113905,0.02714450425896193
AT2G26720,-0.2764526101611806,-0.2942441658832412,-0.29163808485600096,-0.2959228823568985,-0.28558408447379596,-0.28924196124201956,-0.30012229760947373,-0.29664179699342313
