gene_symbol,37D-2H-25C-A,37D-2H-25C-B,40D-5H-25C-A,40D-5H-25C-B,44D-9H-25C-A,44D-9H-25C-B
AT2G42210,0.5410761641465291,0.16764894213683007,0.3556075295956046,0.16306269066298276,0.3542585041298525,0.27585078476634334
AT2G33040,0.04495037077406387,0.2555264472739256,0.06972467390646123,0.24474801371781793,-0.02300046697827406,0.16425591901345865
AT2G39700,-0.7452351082586806,-0.7283702286080955,-0.4900291527790044,-0.6767626723733973,-0.7141904930187698,-0.6055122505660543
AT2G32180;AT2G32650,-0.6823892281363875,-0.7425459993390096,-0.8161980217456097,-0.6947823711042667,-0.6987132018963852,-0.7137125956876725
AT2G45710,-0.7121518562960644,-0.812504348400664,-0.743387520684509,-0.758985006317563,-0.7121268542024519,-0.7131064312892321
AT2G30570,0.42362447037590334,0.3510748240186589,0.1445063560453581,-0.0015609808551253664,0.1711750478946437,0.20977886533633552
AT2G30620,-0.4382618855869716,-0.37968308881132357,-0.3697255076247495,-0.32376751445345237,-0.21646660600808257,-0.26218073528938984
AT2G30410,-0.529394561067635,-0.6110979434705327,-0.5795946930013735,-0.5549208683719558,-0.5271732252899549,-0.5963591681496038
AT2G30490,-0.6871241917072453,-0.7135807881485704,-0.6952167830958622,-0.8069579790977583,-0.6621481016197514,-0.6915875951445966
AT2G02760,0.3556131754490384,0.37322830122151607,0.7181816490927603,0.31235171789687444,0.4000454903669072,0.22760009865048447
AT2G33800,-0.3806429133026384,-0.35973882263146595,-0.4755532917389379,-0.4385685090170044,-0.393810566785407,-0.29309511960985224
AT2G26330,0.6738396232307078,0.9356566074935003,0.9729568033979309,1.042746195263008,0.7566680733118542,1.1521220391518412
AT2G26250,-0.6625884713855281,-0.733525054328428,-0.8208795768053758,-0.6605330099402965,-0.7809363109840538,-0.7752382821293771
AT2G39900,-0.7000377287186753,-0.8017651281499714,-0.6681746426848443,-0.7517651932498968,-0.7270237469077472,-0.7824516384708182
AT2G40060,-0.8259139680634244,-0.6918568797557408,-0.7168381755429403,-0.6583252985063819,-0.7693928313552753,-0.6843136223633113
AT2G39990,-0.5887353382868256,-0.5051171813394126,-0.5608068733536276,-0.44972640193976127,-0.5703806630066122,-0.5049495768647855
AT2G39870,-0.6565006610801396,-0.6886657971669635,-0.471426131357302,-0.5006827685495708,-0.6419631344476413,-0.6348506074505714
ASPGA1,-0.64192681216724,-0.7191651826789305,-0.607376026316565,-0.6561772549490598,-0.6563441174488571,-0.6630372519780519
AT2G34750,-0.437646955253094,-0.47602923620325105,-0.3719430863372704,-0.40783955257197874,-0.5892113672055136,-0.4337858764878781
AT2G30110,-0.5068266178143265,-0.5928719525307861,-0.4942795119780027,-0.5550402041251404,-0.4864808473806853,-0.6308499224208646
scpl41,-0.33704435263071497,-0.6160686682722819,-0.6238846678431089,-0.35873289013653004,-0.43792084648420343,-0.6287889634661671
scpl47,-0.3066667941371605,-0.26750426242123226,-0.2608177530765044,-0.3085522059224203,-0.29411101647204574,-0.22138587127434836
AT2G23120,0.019799720118469078,0.2345389425554294,-0.08963299635163263,-0.13366565963043936,-0.2006668713206482,-0.023594428063233308
EXT11,-0.5862756169513151,-0.6658986502354953,-0.7383979685813372,-0.6853548466026861,-0.65350661407642,-0.7164403354806546
AT2G44100,0.15237870010248433,0.030064188982243025,0.20456577950946386,0.1826337541852516,0.17833329503874654,-0.06893552506657809
AT2G44060,-0.2528603899228686,-0.24197560171101443,-0.31077487351690414,-0.41476102625668365,-0.2411012943778782,-0.3209786819381124
AT2G44120,1.0884871473643885,1.0355006723385103,0.899961504110787,1.1698984402811625,1.1011667782109331,1.1741864232550732
AT2G44050,-0.6414963609335256,-0.7740886233896153,-0.779607972989016,-0.7570756342666098,-0.7435973461513008,-0.752931432266769
AT2G30860,3.8602241342843815,3.833527799940379,4.030628251512066,3.634718754431772,3.8223970010912094,3.7851789530974176
AT2G30870,-0.026504534022515833,-0.049283306927159494,-0.10429365561774266,-0.28760878123852895,-0.16255404193177597,-0.14876737634118387
NSH5,-0.4066544664256618,-0.44706402501281167,-0.46046143661206,-0.4430435997614256,-0.41844525515520264,-0.509798892052309
AT2G37660,0.0594627266535757,-0.1358721056341721,-0.16078031337834253,-0.17889391008738983,0.0147254301325386,-0.18725881564215172
AT2G38280,-0.792953702167584,-0.7791207151642253,-0.542635047792693,-0.8351212168493158,-0.6844611963211893,-0.7595992406496138
AT2G41430,-0.08769010224333922,0.05829299649834917,0.029377061220318378,-0.07841320590598556,-0.03886469037871829,0.09345591727561531
AT2G14720;AT2G14740,-0.6136400168088693,-0.6123252829277548,-0.8869141429115515,-0.6512844890684927,-0.4695203158590721,-0.7038927324329374
AT2G34250,0.022505413587530672,-0.05222892162449242,-0.27954397331556924,0.07063714982153693,-0.01487488913902216,-0.011471140094424539
AT2G34430;AT2G34420,2.5045487202177763,2.8342893808430825,2.294818514286388,2.328588935826702,2.4034518487335843,2.4577395369527015
AT2G34480,3.1742078538105063,3.036493556420408,3.4251060641765174,2.9650065075599903,3.131916350893823,3.231144692922857
AT2G39460,0.8762131961098332,1.159461957517933,0.6771564429111248,1.3654300718740735,1.4292208612924782,1.1241172439438931
AT2G18960,0.08701160561129327,-0.19263655553068987,0.03294982692382427,-0.26219026581021654,-0.074591437386223,-0.2878821057832645
AT2G34560,-0.7379789303189245,-0.6913659439728519,-0.6929376049746603,-0.7416216542292087,-0.755463269345129,-0.7118941024923512
AT2G45960,-0.1676310456474301,-0.25093517974873514,-0.18585127271156415,-0.35503348178780847,-0.26354336650533594,-0.17980299354133433
AT2G45820,-0.5295175471344107,-0.6252123472285859,-0.5627780544314239,-0.5947790099356008,-0.585793465415987,-0.6061790314043388
AT2G44650,-0.2172559235913542,-0.28628255611672887,-0.36775432654695317,-0.43558511518739024,-0.2780533269325716,-0.3679564228172464
AT2G44620,-0.5313008451026558,-0.577591576288372,-0.5545853330768331,-0.5822487558512214,-0.5795380602540232,-0.5496238930298458
AT2G26080,-0.6613586107177729,-0.7196561184618192,-0.5745435414895205,-0.8282594110412033,-0.7800334690019147,-0.7469910211620525
AT2G25970,-0.6796220416339381,-0.7470871553307311,-0.6819113108207373,-0.7330294799999201,-0.7063873587445676,-0.7477184184401813
