gene_symbol,35D-0H-16C-A,35D-0H-16C-B,35D-2H-16C-A,37D-2H-16C-B,40D-5H-16C-A,40D-5H-16C-B,44D-9H-16C-A,44D-9H-16C-B
AT2G41960,187.3,161.0,183.4,162.1,165.1,152.9,168.4,158.0
AT2G41930,9.6,7.2,19.1,19.6,4.0,21.5,5.7,11.9
MOS11,15.1,8.5,4.1,19.4,7.8,14.5,16.1,14.5
AT2G41950,512.9,462.4,339.2,431.6,313.5,390.9,312.0,341.6
AT2G42080,90.3,91.7,79.5,82.1,72.6,118.7,73.9,72.3
AT2G42060,38.5,31.6,28.7,4.4,24.9,28.5,24.4,22.1
AT2G42050,0.3,1.2,0.9,0.2,7.0,1.2,0.3,0.2
AT2G41890,219.6,278.8,253.1,278.9,271.5,268.4,282.1,291.9
AT2G41860,4.0,1.6,9.6,0.3,3.1,1.4,1.0,2.7
AT2G42040,53.8,68.2,72.0,62.2,89.6,61.3,87.9,73.4
AT2G42070,420.5,539.3,441.0,466.2,380.0,413.1,398.3,403.2
AT2G41900,268.2,352.7,226.6,292.8,295.2,277.6,272.7,326.8
AT2G41940,108.8,136.7,115.0,194.6,115.3,170.2,173.8,145.3
AT2G42010,56.5,50.6,48.4,37.4,50.2,19.1,42.1,39.4
AT2G41880,70.7,68.8,91.1,73.2,75.6,72.2,85.8,79.9
AT2G41870,3.9,3.1,4.3,4.0,42.7,20.3,5.4,1.8
AT2G42030,188.4,197.2,211.0,200.1,212.2,182.2,211.5,187.8
AT2G32760,229.9,213.9,205.9,147.7,145.3,194.6,157.8,173.9
AT2G32750,3.7,12.7,29.0,9.0,13.4,2.2,0.8,10.3
AT2G32740,1.6,0.9,10.7,0.6,1.8,1.8,2.6,10.4
AT2G32730,649.3,616.2,639.4,598.3,627.9,550.1,530.2,619.8
AT2G32720,255.8,283.8,295.3,337.2,221.5,297.5,226.0,256.4
AT2G32690,203.4,424.9,234.5,417.8,210.8,411.5,267.4,415.6
AT2G32680,13.9,21.1,19.0,24.0,38.9,47.3,28.5,61.6
AT2G32670,42.4,42.7,46.0,46.0,56.3,54.2,60.6,64.6
AT2G32660,11.9,12.9,11.2,6.3,9.7,22.3,16.7,12.8
AT2G32640,64.9,62.1,69.6,61.6,64.3,84.0,70.3,63.4
UAP56b,1.1,7.4,30.4,17.7,18.4,15.0,11.5,15.6
AT2G32780,31.7,21.3,13.0,17.7,11.1,24.3,24.4,17.6
AT2G32770,28.4,23.9,13.2,19.2,20.1,22.0,12.7,35.3
AT2G32180;AT2G32650,805.1,750.5,782.2,812.3,646.3,750.6,767.2,628.8
AT2G32790,4.2,2.6,23.7,3.1,6.9,6.0,4.3,3.4
AT2G32765,413.6,387.5,386.5,388.1,453.9,483.4,479.3,505.8
AT2G32810,396.9,296.3,422.6,318.5,437.8,323.8,404.7,316.6
AT2G32710,117.0,138.4,109.6,121.6,147.9,129.5,127.6,147.2
AT2G32700,540.8,502.4,556.8,564.8,644.8,492.0,697.0,529.1
AT2G45570,3.4,6.0,4.1,4.0,0.9,3.2,1.1,3.2
AT2G45580,40.7,39.6,46.3,38.2,52.3,42.7,42.6,48.8
AT2G45590,354.1,286.6,366.9,298.5,360.7,254.4,326.8,265.6
AT2G45610,4.9,10.8,5.8,7.8,9.3,19.6,7.9,3.5
ENGase85A,0.7,8.1,4.5,0.9,2.3,0.6,3.3,2.3
AT2G45490,198.8,206.4,263.5,182.6,201.0,180.0,192.6,160.9
AT2G45720,292.6,273.0,239.0,228.4,262.5,219.2,231.5,219.2
AT2G45500,20.0,12.4,26.3,16.9,31.4,11.6,39.5,22.1
AT2G45510;AT2G44890,47.8,75.6,76.7,81.5,93.9,133.5,66.9,68.9
AT2G45540,313.6,311.0,309.2,283.3,373.4,270.7,334.5,225.3
AT2G45550,8.2,16.9,4.7,16.1,3.6,1.8,2.0,2.5
AT2G45600,35.9,50.1,44.2,41.5,32.5,33.7,34.7,12.7
AT2G45530,135.3,144.6,120.9,142.1,93.9,128.7,95.7,125.4
AT2G45560,43.5,21.4,17.6,1.5,9.2,22.4,3.0,5.3
AT2G45520,738.6,701.8,612.1,539.5,686.9,696.5,584.1,671.0
AT2G45710,865.0,837.8,912.7,783.4,879.8,830.5,874.9,723.4
AT2G45700,189.1,254.1,218.0,196.8,202.7,167.7,207.9,197.2
AtRZ-1c,18.9,31.5,33.2,33.5,85.8,76.9,98.9,93.2
AT2G45640,790.2,1025.8,826.4,1055.3,827.0,1109.7,834.0,984.3
AT2G45670,144.2,146.5,169.4,165.5,171.2,175.9,175.3,172.8
AT2G45690,109.7,134.5,118.6,99.0,87.9,104.2,114.1,83.5
AT2G45620,286.4,351.9,265.9,287.9,331.3,311.0,328.5,321.2
AT2G45630,41.3,52.3,44.2,57.6,46.6,41.7,39.2,44.4
AT2G45680,41.2,59.5,64.7,76.6,72.4,75.8,59.9,65.0
AT2G30520,46.2,29.9,66.8,44.1,38.9,32.3,56.8,51.8
AT2G30500,250.1,265.2,256.2,297.4,325.1,321.2,335.2,365.0
AT2G30470,99.4,97.6,100.1,80.9,98.4,78.1,104.4,79.6
AT2G30460,242.2,213.7,209.3,201.1,202.6,197.5,203.1,192.7
AT2G30480,27.1,28.7,27.0,34.0,29.5,23.2,37.0,25.0
AT2G30430,1.3,2.4,1.4,1.0,0.8,1.3,1.7,2.0
AT2G30600,178.7,161.6,128.9,114.7,157.7,131.0,151.6,127.3
AT2G30560,19.8,18.3,22.8,8.3,16.8,14.0,11.7,18.6
AT2G30570,2030.1,2394.5,2169.3,2546.0,2152.6,2969.9,2614.9,2281.0
AT2G30620,1567.6,1539.6,1495.9,1347.8,1306.7,1283.0,1468.0,1357.6
AT2G30400,25.6,31.8,22.5,29.4,15.6,32.3,17.8,25.7
AT2G30410,1166.0,1046.0,1182.8,1252.5,1207.2,1260.2,1112.2,1080.0
267495_at,48.1,49.0,28.2,37.9,14.0,25.5,23.8,17.1
AT2G30550,40.0,38.6,77.7,69.1,40.5,36.2,35.1,32.4
AT2G30540,11.4,11.5,15.7,16.0,3.5,4.1,4.8,4.7
AT2G30580,69.2,84.9,82.5,80.3,62.4,89.3,83.0,78.2
AT2G30530,200.4,214.9,173.1,202.9,214.7,211.2,179.8,200.9
AT2G30590,375.7,377.5,473.4,403.6,434.5,366.9,444.7,377.6
AT2G30490,932.6,716.7,1254.0,1057.7,1489.8,1236.6,1415.0,1175.6
AT2G30390,359.2,380.3,418.8,353.0,327.0,322.6,339.2,350.0
Cand7,820.5,1088.8,650.1,887.0,563.4,971.1,838.3,846.4
LPPepsilon2,64.3,64.7,59.0,52.9,53.1,68.4,67.5,73.8
AT2G02740,164.2,199.3,136.4,179.6,124.3,117.6,126.5,109.3
DIM1B,63.3,63.7,47.5,49.2,65.1,65.5,53.7,61.8
HIPP27,2.8,5.1,2.2,3.7,2.4,8.6,11.5,1.1
AT2G02710,78.9,105.8,76.6,92.3,120.1,106.4,100.5,103.9
LARP1b,6.6,12.6,22.3,4.6,16.8,17.8,22.3,13.5
267479_at,2.5,3.6,3.1,1.8,1.3,3.8,1.7,2.8
IRX15-L,19.3,8.4,18.2,11.1,7.3,21.1,11.2,10.1
IDD1,66.4,70.2,62.0,85.7,59.3,72.3,89.0,77.7
AT2G02770;AT3G11470,25.2,45.3,24.5,34.0,21.5,43.4,18.7,39.0
AT2G02810,227.6,217.4,263.4,205.2,230.4,259.6,230.8,178.9
AT2G02760,2082.0,1917.8,1552.5,1396.7,1643.9,1583.8,1746.6,1636.5
AT2G02820,11.0,19.7,13.3,9.7,13.7,15.7,17.0,21.9
EML3,389.0,346.8,424.0,416.7,400.5,380.5,414.0,428.4
SUC9,6.4,9.4,20.0,3.0,4.5,3.5,3.0,6.1
AT2G19110,138.5,104.6,168.9,104.1,115.7,144.0,105.6,55.4
AT2G19120;AT4G30100,133.7,131.3,131.3,110.9,141.5,128.4,146.4,103.6
SULTR3;5,102.2,70.8,89.7,119.1,78.3,96.5,95.4,102.6
267491_at,5.1,5.8,7.6,5.0,3.8,7.4,6.1,4.7
SUMO3,19.3,21.4,19.5,20.4,9.9,14.3,24.2,25.1
AT2G19170,479.6,411.0,329.4,315.9,382.9,341.5,377.8,387.5
STR16,18.2,26.9,48.8,18.3,17.3,21.0,13.5,15.6
AT2G19190,33.4,14.7,22.3,7.1,4.8,2.1,3.7,4.6
SUS2,0.9,7.4,15.3,5.7,1.6,4.2,1.0,10.9
STR18,19.2,9.3,29.2,10.2,18.7,12.8,11.7,22.8
STRS2,16.5,7.5,3.7,8.2,4.3,17.1,17.2,15.8
AT2G19070,8.1,12.2,17.0,11.8,13.8,10.8,11.7,14.6
SUS5,1.8,1.7,7.7,1.3,1.0,1.4,1.4,1.7
STT3A,517.7,571.1,501.6,480.0,497.0,627.6,409.6,514.0
STP11,13.9,13.3,14.5,6.6,9.8,3.8,7.6,16.8
SUS1,69.8,87.9,89.2,95.0,82.3,118.4,64.1,77.7
AT2G33680,44.8,53.2,32.2,63.1,32.7,48.8,38.3,45.6
AT2G33840;AT1G28350,313.0,353.0,311.6,343.9,344.8,332.3,323.1,396.5
AT2G33870,3.2,2.2,2.7,1.5,1.5,1.6,2.3,2.4
AT2G33700,81.9,58.5,76.7,76.0,92.0,68.5,89.3,75.2
AT2G33690,1.1,0.7,3.6,2.0,1.0,1.2,1.7,1.1
AT2G33720,18.3,28.8,37.6,19.6,18.2,17.7,15.7,20.2
AT2G33710,1.9,3.1,9.1,9.5,10.1,12.9,1.1,3.0
AT2G33860,519.1,475.4,477.2,384.3,583.3,434.2,586.3,466.1
AT2G33880,24.6,31.1,33.0,17.3,31.8,37.0,32.0,46.2
AT2G33730,768.6,741.8,639.6,661.1,685.6,627.1,730.9,575.4
AT2G33760,75.2,62.7,56.0,47.3,53.9,63.4,56.3,61.4
267456_at,165.3,165.5,168.9,137.6,171.4,114.3,167.0,120.2
UMAMIT9,36.0,27.2,30.8,37.4,29.2,34.7,32.2,49.7
AT2G33670,13.7,15.7,35.3,17.5,24.7,31.1,16.4,26.2
AT2G33850,277.9,565.4,265.8,503.2,297.6,410.9,349.7,389.1
AT2G33810,17.4,4.3,1.9,9.0,38.4,26.6,64.1,77.5
AT2G33830,72.6,109.5,32.8,18.8,29.5,33.2,37.8,38.0
AT2G33735,43.2,66.5,56.7,66.4,51.8,53.6,45.3,50.1
AT2G33845,373.0,410.7,397.4,418.6,383.0,346.1,386.5,357.9
AT2G33800,1752.9,1562.4,1711.1,1428.7,1351.0,1461.6,1625.7,1264.0
AT2G33980,40.7,26.4,12.8,20.4,32.0,29.0,25.4,27.9
AT2G33740,347.3,285.5,352.9,281.8,362.6,307.0,457.2,383.6
AT2G34780,190.7,199.3,156.1,130.2,150.7,135.8,128.4,128.6
AT2G34880,26.9,13.7,20.3,14.7,18.0,45.5,19.1,19.9
AT2G34890,6.8,3.3,7.7,3.3,2.7,3.9,4.1,5.0
AT2G34910,2.3,3.3,16.5,15.5,2.3,6.1,15.9,3.8
AT2G34920,39.4,43.8,33.0,39.7,46.6,33.6,36.3,21.2
AT2G34930,15.0,3.7,50.0,4.9,30.2,5.7,10.7,7.1
AT2G34940,71.5,53.4,131.0,112.8,137.1,117.5,86.8,114.7
AT2G34960,42.8,39.1,41.0,37.2,39.6,53.3,37.5,40.1
AT2G34790,2.1,0.9,1.5,1.8,1.5,1.5,1.3,0.6
AT2G34970,202.9,241.7,210.4,213.0,206.3,218.3,202.2,198.0
AT2G34980,28.5,36.6,20.3,42.3,41.4,39.9,36.9,52.2
AT2G34990,23.4,23.6,4.8,15.0,32.9,33.4,20.1,22.8
AT2G35000,11.6,24.4,49.7,16.2,31.6,39.7,41.2,14.1
AT2G35010,412.7,434.3,386.3,464.8,417.7,518.5,333.0,463.7
AT2G35030,70.6,77.2,69.7,71.7,60.0,66.7,66.4,62.6
AT2G35040,763.0,703.6,708.4,669.7,574.8,606.3,635.5,581.3
AT2G35050,386.0,272.3,358.9,239.1,481.8,313.4,418.0,342.0
